station_code,slot_id,capacity_s,lat,lon
DBS5,DBS5_T05_S05,42,-15.799687517287893,-47.92741902982962
DBS5,DBS5_T05_S06,42,-15.799687517287893,-47.92741902982962
DBS5,DBS5_T05_S07,42,-15.795156146397828,-47.91825189287239
DBS5,DBS5_T05_S08,42,-15.795156146397828,-47.91825189287239
DBS5,DBS5_T05_S09,42,-15.795156146397828,-47.91825189287239
DBS5,DBS5_T05_S10,42,-15.797904279869252,-47.930379465938984
DBS5,DBS5_T05_S11,42,-15.797904279869252,-47.930379465938984
DBS5,DBS5_T05_S12,42,-15.797904279869252,-47.930379465938984
DBS5,DBS5_T05_S13,42,-15.786239838658645,-47.93305410948571
DBS5,DBS5_T05_S14,42,-15.797904279869252,-47.930379465938984
DBS5,DBS5_T05_S15,42,-15.795156146397828,-47.91825189287239
DBS5,DBS5_T05_S16,42,-15.798449830180882,-47.91834707531542
DBS5,DBS5_T05_S17,42,-15.798449830180882,-47.91834707531542
DBS5,DBS5_T05_S18,42,-15.76179138652841,-47.89017911657816
DBS5,DBS5_T05_S19,42,-15.76179138652841,-47.89017911657816
DBS5,DBS5_T05_S20,42,-15.794610658690932,-47.930284229421844
DBS5,DBS5_T05_S21,42,-15.79186238620426,-47.91815671131808
DBS5,DBS5_T05_S22,42,-15.798177135131526,-47.92436333690078
DBS5,DBS5_T05_S23,42,-15.80147071120072,-47.924458547271485
DBS5,DBS5_T05_S24,42,-15.798449830180882,-47.91834707531542
DBS5,DBS5_T05_S25,42,-15.786239838658645,-47.93305410948571
DBS5,DBS5_T05_S26,42,-15.80147071120072,-47.924458547271485
DBS5,DBS5_T05_S27,42,-15.784729336795616,-47.929998525205285
DBS5,DBS5_T05_S28,42,-15.788023187134975,-47.930093759055005
DBS5,DBS5_T05_S29,42,-15.788023187134975,-47.930093759055005
DBS5,DBS5_T05_S30,42,-15.78856854961932,-47.91806153065252
DBS5,DBS5_T05_S31,42,-15.79337297181347,-47.92121242905759
DBS5,DBS5_T05_S32,42,-15.78856854961932,-47.91806153065252
DBS5,DBS5_T05_S33,42,-15.799960308096386,-47.921402820983204
DBS5,DBS5_T05_S34,42,-15.799960308096386,-47.921402820983204
DBS5,DBS5_T05_S35,42,-15.791316961106455,-47.930188993793855
DBS5,DBS5_T05_S36,42,-15.791316961106455,-47.930188993793855
DBS5,DBS5_T05_S37,42,-15.763302913281258,-47.89323493809496
DBS5,DBS5_T05_S38,42,-15.796120998962282,-47.93333985558486
DBS5,DBS5_T05_S39,42,-15.794883482634875,-47.92426812741903
DBS5,DBS5_T05_S40,42,-15.792827355250175,-47.933244605995895
DBS5,DBS5_T05_S41,42,-15.79035172581847,-47.91510097421775
DBS5,DBS5_T05_S42,42,-15.804071366218697,-47.90344851621327
DBS5,DBS5_T05_S43,42,-15.773186400340274,-47.89352013688833
DBS5,DBS5_T05_S44,42,-15.783218760157762,-47.926942921498124
DBS5,DBS5_T05_S45,42,-15.803253861590225,-47.92149801827927
DBS5,DBS5_T05_S46,42,-15.789533635142583,-47.93314935729618
DBS5,DBS5_T05_S47,42,-15.79007918906267,-47.92111723442804
DBS5,DBS5_T05_S48,42,-15.792951314242027,-47.894090558446294
DBS5,DBS5_T05_S49,42,-15.766597485220807,-47.893330003471625
DBS5,DBS5_T06_S01,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S02,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S03,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S04,42,-15.826692049598606,-48.09382005526465
DBS5,DBS5_T06_S05,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S06,42,-15.826692049598606,-48.09382005526465
DBS5,DBS5_T06_S07,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S08,42,-15.826692049598606,-48.09382005526465
DBS5,DBS5_T06_S09,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S10,42,-15.826692049598606,-48.09382005526465
DBS5,DBS5_T06_S11,42,-15.824907282071063,-48.09677840895561
DBS5,DBS5_T06_S12,42,-15.824907282071063,-48.09677840895561
DBS5,DBS5_T06_S13,42,-15.824907282071063,-48.09677840895561
DBS5,DBS5_T06_S14,42,-15.824907282071063,-48.09677840895561
DBS5,DBS5_T06_S15,42,-15.824907282071063,-48.09677840895561
DBS5,DBS5_T06_S16,42,-15.824907282071063,-48.09677840895561
DBS5,DBS5_T06_S17,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S18,42,-15.824907282071063,-48.09677840895561
DBS5,DBS5_T06_S19,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S20,42,-15.824907282071063,-48.09677840895561
DBS5,DBS5_T06_S21,42,-15.828199150146231,-48.09687439793345
DBS5,DBS5_T06_S22,42,-15.828199150146231,-48.09687439793345
DBS5,DBS5_T06_S23,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S24,42,-15.79844658685105,-48.06289217449786
DBS5,DBS5_T06_S25,42,-15.798014434865253,-48.10803512290037
DBS5,DBS5_T06_S26,42,-15.79844658685105,-48.06289217449786
DBS5,DBS5_T06_S27,42,-15.828199150146231,-48.09687439793345
DBS5,DBS5_T06_S28,42,-15.829150255246551,-48.111953689255124
DBS5,DBS5_T06_S29,42,-15.816816052599503,-48.09353213277603
